Data,Descrição,Entrada de Dinheiro (R$),Entrada de bônus (R$),Saída de Dinheiro (R$),Saída de bônus (R$),Saldos em Dinheiro (R$)
20-abr-26 18:13:56,"Moreirense x Estoril Praia / Mais/Menos de 1,5 Gols Ref: 17767196361440",441.23,--,--,--,"26,057.90"
20-abr-26 16:30:03,"Farul Constanta x FCSB / Mais/Menos de 5,5 Gols Ref: 17767134031439",433.32,--,--,--,"25,616.67"
20-abr-26 15:47:30,"Lechia Gdansk x Piast Gliwice / Mais/Menos de 1,5 Gols Ref: 17767108501438",--,--,-600.00,--,"25,183.35"
20-abr-26 15:39:48,"Midtjylland x AGF / Mais/Menos de 1,5 Gols Ref: 17767103881437",--,--,-600.00,--,"25,783.35"
19-abr-26 22:07:59,"Santos Laguna x Atlas / Mais/Menos de 1,5 Gols Ref: 17766472791436",144.67,--,--,--,"26,383.35"
19-abr-26 20:16:28,"Flamengo x Bahia / 1,5 gols no primeiro tempo Ref: 17766405881435",387.43,--,--,--,"26,238.68"
19-abr-26 19:19:15,"Palmeiras x Athletico-PR / 1,5 gols no primeiro tempo Ref: 17766371551434",392.21,--,--,--,"25,851.25"
19-abr-26 19:02:26,"River Plate x Boca Juniors / Mais/Menos de 1,5 Gols Ref: 17766361451433",599.62,--,--,--,"25,459.04"
19-abr-26 18:32:31,"Braga x Famalicão / Mais/Menos de 3,5 Gols Ref: 17766343511432",--,--,-600.00,--,"24,859.42"
19-abr-26 18:23:33,"Ind. Del Valle (Ecu) x LDU / 1,5 gols no primeiro tempo Ref: 17766338121431",468.52,--,--,--,"25,459.42"
19-abr-26 17:58:11,"Santos x Fluminense / Mais/Menos de 4,5 Gols Ref: 17766322911430",--,--,-600.00,--,"24,990.90"
19-abr-26 17:43:49,"Almería x Málaga / Mais/Menos de 3,5 Gols Ref: 17766314291429",--,--,-600.00,--,"25,590.90"
19-abr-26 14:26:54,"Manchester City x Arsenal / Mais/Menos de 3,5 Gols Ref: 17766196141428",446.89,--,--,--,"26,190.90"
19-abr-26 13:32:14,"Arouca x Club Football Estrela / Mais/Menos de 1,5 Gols Ref: 17766163341427",463.86,--,--,--,"25,744.01"
18-abr-26 19:21:57,"Vasco da Gama x São Paulo / 1,5 gols no primeiro tempo Ref: 17765509161426",344.59,--,--,--,"25,280.15"
18-abr-26 19:11:58,"Instituto x Estudiantes / Mais/Menos de 1,5 Gols Ref: 17765503181425",409.71,--,--,--,"24,935.56"
18-abr-26 17:56:04,"Chelsea x Manchester United / Mais/Menos de 1,5 Gols Ref: 17765457661424",537.40,--,--,--,"24,525.85"
18-abr-26 11:58:16,"Modena x Frosinone / Mais/Menos de 3,5 Gols Ref: 17765242961423",633.56,--,--,--,"23,988.45"
18-abr-26 11:54:03,"Dukla Praga x MFK Karvina / Mais/Menos de 3,5 Gols Ref: 17765240431422",362.18,--,--,--,"23,354.89"
18-abr-26 10:39:03,"Csikszereda x Unirea Slobozia / Mais/Menos de 5,5 Gols Ref: 17765195421421",459.00,--,--,--,"22,992.71"
18-abr-26 10:37:55,"Csikszereda x Unirea Slobozia / Mais/Menos de 5,5 Gols Ref: 17765194751420",572.76,--,--,--,"22,533.71"
18-abr-26 10:22:52,"Csikszereda x Unirea Slobozia / Mais/Menos de 5,5 Gols Ref: 17765185721419",--,--,-572.76,--,"21,960.95"
18-abr-26 09:43:09,"Arminia Bielefeld x Nuremberg / Mais/Menos de 1,5 Gols Ref: 17765161891418",--,--,-600.00,--,"22,533.71"
17-abr-26 23:55:42,"Atletico San Luis x Pumas UNAM / Mais/Menos de 1,5 Gols Ref: 17764809421417",--,--,-600.00,--,"23,133.71"
17-abr-26 16:10:52,"Djurgardens x Malmo / Mais/Menos de 1,5 Gols Ref: 17764530521416",429.92,--,--,--,"23,733.71"
17-abr-26 11:02:39,"Wuhan Three Towns x Chengdu Rongcheng / Mais/Menos de 1,5 Gols Ref: 17764345581415",357.89,--,--,--,"23,303.79"
17-abr-26 10:27:24,"Chennaiyin FC x Hyderabad FC / Mais/Menos de 1,5 Gols Ref: 17764324431414",30.99,--,--,--,"22,945.90"
16-abr-26 20:54:36,"Lanus x Always Ready / Mais/Menos de 1,5 Gols Ref: 17763836771413",348.42,--,--,--,"22,914.91"
